question_number,elapsed_time,is_correct,question_id,_id,demographics.age,demographics.csBackground,demographics.yearsOfExperience
19,5056,True,camelCase,67500d7657900f8273aff8e8,26,False,0
2,4200,True,kebab-case,67500d7657900f8273aff8e8,26,False,0
3,2621,True,camelCase,67500d7657900f8273aff8e8,26,False,0
4,3957,True,kebab-case,67500d7657900f8273aff8e8,26,False,0
5,4206,True,kebab-case,67500d7657900f8273aff8e8,26,False,0
6,4383,False,camelCase,67500d7657900f8273aff8e8,26,False,0
7,6924,True,camelCase,67500d7657900f8273aff8e8,26,False,0
8,5686,True,kebab-case,67500d7657900f8273aff8e8,26,False,0
9,4140,True,camelCase,67500d7657900f8273aff8e8,26,False,0
0,9255,True,camelCase,67501d08c398929b7a04a96b,29,False,0
1,9306,True,kebab-case,67501d08c398929b7a04a96b,29,False,0
10,8004,True,kebab-case,67501d08c398929b7a04a96b,29,False,0
11,31522,True,kebab-case,67501d08c398929b7a04a96b,29,False,0
12,5775,True,camelCase,67501d08c398929b7a04a96b,29,False,0
13,6390,True,kebab-case,67501d08c398929b7a04a96b,29,False,0
14,6335,True,camelCase,67501d08c398929b7a04a96b,29,False,0
15,14224,True,kebab-case,67501d08c398929b7a04a96b,29,False,0
16,12973,True,kebab-case,67501d08c398929b7a04a96b,29,False,0
17,14690,True,camelCase,67501d08c398929b7a04a96b,29,False,0
18,6877,True,camelCase,67501d08c398929b7a04a96b,29,False,0
19,5992,True,camelCase,67501d08c398929b7a04a96b,29,False,0
2,12322,True,kebab-case,67501d08c398929b7a04a96b,29,False,0
3,8471,True,camelCase,67501d08c398929b7a04a96b,29,False,0
4,6337,True,kebab-case,67501d08c398929b7a04a96b,29,False,0
5,16137,True,kebab-case,67501d08c398929b7a04a96b,29,False,0
6,11556,True,camelCase,67501d08c398929b7a04a96b,29,False,0
7,4456,True,camelCase,67501d08c398929b7a04a96b,29,False,0
8,6656,True,kebab-case,67501d08c398929b7a04a96b,29,False,0
9,26341,True,camelCase,67501d08c398929b7a04a96b,29,False,0
0,4344,True,camelCase,675028849591c3fd9b86c92f,25,False,0
1,3676,True,kebab-case,675028849591c3fd9b86c92f,25,False,0
10,7747,True,kebab-case,675028849591c3fd9b86c92f,25,False,0
11,5959,True,kebab-case,675028849591c3fd9b86c92f,25,False,0
12,10930,True,camelCase,675028849591c3fd9b86c92f,25,False,0
13,5772,True,kebab-case,675028849591c3fd9b86c92f,25,False,0
14,3179,True,camelCase,675028849591c3fd9b86c92f,25,False,0
15,4491,True,kebab-case,675028849591c3fd9b86c92f,25,False,0
16,4660,True,kebab-case,675028849591c3fd9b86c92f,25,False,0
17,2007,True,camelCase,675028849591c3fd9b86c92f,25,False,0
18,3107,False,camelCase,675028849591c3fd9b86c92f,25,False,0
19,5362,True,camelCase,675028849591c3fd9b86c92f,25,False,0
2,6208,True,kebab-case,675028849591c3fd9b86c92f,25,False,0
3,2358,True,camelCase,675028849591c3fd9b86c92f,25,False,0
4,3191,True,kebab-case,675028849591c3fd9b86c92f,25,False,0
5,3072,False,kebab-case,675028849591c3fd9b86c92f,25,False,0
6,4545,True,camelCase,675028849591c3fd9b86c92f,25,False,0
7,3409,True,camelCase,675028849591c3fd9b86c92f,25,False,0
8,5723,True,kebab-case,675028849591c3fd9b86c92f,25,False,0
9,6144,True,camelCase,675028849591c3fd9b86c92f,25,False,0
0,6014,True,camelCase,67508278552c62ded9ce3247,26,False,0
1,6620,True,kebab-case,67508278552c62ded9ce3247,26,False,0
10,3951,True,kebab-case,67508278552c62ded9ce3247,26,False,0
11,10607,True,kebab-case,67508278552c62ded9ce3247,26,False,0
12,2965,True,camelCase,67508278552c62ded9ce3247,26,False,0
13,4183,True,kebab-case,67508278552c62ded9ce3247,26,False,0
14,2977,True,camelCase,67508278552c62ded9ce3247,26,False,0
15,3851,True,kebab-case,67508278552c62ded9ce3247,26,False,0
16,4919,True,kebab-case,67508278552c62ded9ce3247,26,False,0
17,3446,True,camelCase,67508278552c62ded9ce3247,26,False,0
18,5018,True,camelCase,67508278552c62ded9ce3247,26,False,0
19,3808,True,camelCase,67508278552c62ded9ce3247,26,False,0
2,6785,True,kebab-case,67508278552c62ded9ce3247,26,False,0
3,2692,True,camelCase,67508278552c62ded9ce3247,26,False,0
4,4416,True,kebab-case,67508278552c62ded9ce3247,26,False,0
5,9330,True,kebab-case,67508278552c62ded9ce3247,26,False,0
6,7541,True,camelCase,67508278552c62ded9ce3247,26,False,0
7,3063,True,camelCase,67508278552c62ded9ce3247,26,False,0
8,5312,True,kebab-case,67508278552c62ded9ce3247,26,False,0
9,4758,True,camelCase,67508278552c62ded9ce3247,26,False,0
0,6898,True,camelCase,67515f8695e19cd1fc0874be,24,False,0
1,3196,True,kebab-case,67515f8695e19cd1fc0874be,24,False,0
10,6307,True,kebab-case,67515f8695e19cd1fc0874be,24,False,0
11,2182,True,kebab-case,67515f8695e19cd1fc0874be,24,False,0
12,2163,True,camelCase,67515f8695e19cd1fc0874be,24,False,0
13,2755,True,kebab-case,67515f8695e19cd1fc0874be,24,False,0
14,2405,False,camelCase,67515f8695e19cd1fc0874be,24,False,0
15,3552,True,kebab-case,67515f8695e19cd1fc0874be,24,False,0
16,4769,True,kebab-case,67515f8695e19cd1fc0874be,24,False,0
17,5874,True,camelCase,67515f8695e19cd1fc0874be,24,False,0
18,3848,False,camelCase,67515f8695e19cd1fc0874be,24,False,0
19,4100,True,camelCase,67515f8695e19cd1fc0874be,24,False,0
2,4046,True,kebab-case,67515f8695e19cd1fc0874be,24,False,0
3,1761,True,camelCase,67515f8695e19cd1fc0874be,24,False,0
4,2581,True,kebab-case,67515f8695e19cd1fc0874be,24,False,0
5,2260,True,kebab-case,67515f8695e19cd1fc0874be,24,False,0
6,3264,True,camelCase,67515f8695e19cd1fc0874be,24,False,0
7,3271,True,camelCase,67515f8695e19cd1fc0874be,24,False,0
8,2785,True,kebab-case,67515f8695e19cd1fc0874be,24,False,0
9,2776,True,camelCase,67515f8695e19cd1fc0874be,24,False,0
